,total_time_min,rock_human_score,rock_god_score,math1_num_resp,math2_num_resp,math3_num_resp
5521538.0,7.9853,-3.0,-3.0,3.0,1.0,1.0
5521541.0,4.849533333333333,-3.0,-1.0,1.0,1.0,1.0
5521539.0,11.28335,-3.0,-3.0,1.0,1.0,1.0
5521563.0,4.899516666666667,-3.0,-3.0,1.0,1.0,1.0
5521551.0,5.419700000000001,-3.0,1.0,1.0,1.0,1.0
5521552.0,9.734766666666667,-2.0,-2.0,1.0,1.0,3.0
5521547.0,9.101066666666666,-2.0,2.0,1.0,1.0,1.0
5521561.0,8.07755,-3.0,-2.0,1.0,1.0,1.0
5521566.0,8.059566666666667,-3.0,-3.0,1.0,1.0,1.0
5521554.0,7.5582,-2.0,2.0,1.0,1.0,1.0
5521548.0,13.864516666666667,-3.0,-3.0,1.0,1.0,1.0
5521570.0,16.48346666666667,-2.0,-3.0,1.0,1.0,1.0
5521560.0,233.78861666666666,-3.0,-1.0,1.0,1.0,1.0
5521568.0,5.086666666666667,-2.0,-1.0,1.0,1.0,1.0
5521573.0,6.56425,-3.0,1.0,1.0,1.0,1.0
5521577.0,33.91086666666667,-3.0,1.0,1.0,1.0,1.0
5521578.0,8.598833333333333,-2.0,1.0,1.0,1.0,1.0
5521585.0,11.279533333333335,-3.0,-3.0,1.0,1.0,1.0
5521582.0,8.863566666666665,-3.0,-3.0,1.0,1.0,1.0
5521587.0,7.41795,-3.0,-3.0,1.0,1.0,1.0
5521584.0,4.6016,1.0,1.0,1.0,1.0,1.0
5521592.0,6.337766666666667,-3.0,-3.0,1.0,1.0,1.0
5521591.0,7.592833333333333,-3.0,-3.0,1.0,1.0,1.0
5521597.0,4.1006833333333335,-2.0,-2.0,1.0,1.0,1.0
5521598.0,4.100716666666667,-3.0,-3.0,1.0,1.0,1.0
5521603.0,5.303533333333333,-2.0,-3.0,1.0,1.0,1.0
5521601.0,2.837,-2.0,-1.0,1.0,1.0,1.0
5521600.0,3.3936833333333336,-2.0,-1.0,1.0,1.0,1.0
5521608.0,4.578166666666666,-3.0,-3.0,1.0,1.0,1.0
5521604.0,6.696383333333333,-2.0,-1.0,1.0,1.0,1.0
5521605.0,4.628266666666667,-3.0,-3.0,1.0,1.0,1.0
5521606.0,11.1617,-3.0,-3.0,1.0,1.0,1.0
5521618.0,6.4022499999999996,-3.0,-3.0,1.0,1.0,1.0
5521596.0,11.4902,-3.0,-3.0,3.0,1.0,1.0
5521617.0,5.46565,-3.0,-2.0,1.0,1.0,1.0
5521626.0,6.6518999999999995,-3.0,3.0,1.0,1.0,1.0
5521624.0,15.268949999999998,-2.0,-1.0,1.0,1.0,1.0
5521623.0,9.650366666666667,-3.0,-3.0,1.0,1.0,1.0
5521630.0,8.575816666666666,-2.0,-1.0,1.0,1.0,1.0
5521583.0,11.8988,-2.0,-1.0,1.0,1.0,1.0
5521635.0,7.268683333333333,-3.0,-3.0,1.0,1.0,1.0
5521602.0,7.8955166666666665,-3.0,1.0,1.0,1.0,1.0
5521621.0,10.685466666666667,-3.0,1.0,1.0,1.0,1.0
5521610.0,6.06535,-3.0,-2.0,1.0,1.0,1.0
5521593.0,5.517533333333334,-2.0,-1.0,1.0,1.0,1.0
5522038.0,9.605183333333335,-3.0,3.0,1.0,1.0,1.0
5522033.0,9.277133333333333,-3.0,-3.0,1.0,1.0,1.0
5522048.0,8.4364,-3.0,-1.0,1.0,1.0,1.0
5522396.0,5.47895,-3.0,-3.0,1.0,1.0,1.0
5522394.0,13.335049999999999,-3.0,-3.0,1.0,1.0,1.0
5522400.0,7.686216666666667,-3.0,-3.0,1.0,1.0,1.0
5522616.0,12.020466666666666,-3.0,3.0,1.0,1.0,1.0
